================ Training Loss (Sat Aug  1 17:29:51 2026) ================
[Rank 0] (epoch: 2, iters: 29952, time: 0.001, data: 0.001) , D_A: 0.281, G_A: 0.954, cycle_A: 0.156, D_B: 0.259, G_B: 0.985, cycle_B: 0.161, gp: 0.243

[Rank 0] (epoch: 2, iters: 31552, time: 0.001, data: 0.001) , D_A: 0.719, G_A: 0.308, cycle_A: 0.197, D_B: 0.235, G_B: 0.916, cycle_B: 0.159, gp: 0.216

[Rank 0] (epoch: 2, iters: 33152, time: 0.001, data: 0.001) , D_A: 0.369, G_A: 1.296, cycle_A: 0.185, D_B: 0.389, G_B: 1.130, cycle_B: 0.159, gp: 0.372

[Rank 0] (epoch: 2, iters: 34752, time: 0.001, data: 0.001) , D_A: 0.369, G_A: 0.990, cycle_A: 0.193, D_B: 0.282, G_B: 0.869, cycle_B: 0.156, gp: 0.255

[Rank 0] (epoch: 2, iters: 36352, time: 0.001, data: 0.001) , D_A: 0.254, G_A: 0.933, cycle_A: 0.183, D_B: 0.215, G_B: 1.075, cycle_B: 0.154, gp: 0.199

[Rank 0] (epoch: 2, iters: 37952, time: 0.001, data: 0.001) , D_A: 0.653, G_A: 0.393, cycle_A: 1.091, D_B: 0.416, G_B: 1.001, cycle_B: 1.540, gp: 0.388

[Rank 0] (epoch: 2, iters: 39552, time: 0.001, data: 0.002) , D_A: 0.433, G_A: 0.782, cycle_A: 0.515, D_B: 0.386, G_B: 1.163, cycle_B: 0.561, gp: 0.353

[Rank 0] (epoch: 3, iters: 704, time: 0.001, data: 0.001) , D_A: 0.452, G_A: 0.786, cycle_A: 0.369, D_B: 0.399, G_B: 0.945, cycle_B: 0.341, gp: 0.372

[Rank 0] (epoch: 3, iters: 2304, time: 0.001, data: 0.000) , D_A: 0.353, G_A: 0.921, cycle_A: 0.340, D_B: 0.431, G_B: 0.885, cycle_B: 0.248, gp: 0.405

[Rank 0] (epoch: 3, iters: 3904, time: 0.001, data: 0.001) , D_A: 0.401, G_A: 0.795, cycle_A: 0.326, D_B: 0.354, G_B: 0.802, cycle_B: 0.262, gp: 0.326

[Rank 0] (epoch: 3, iters: 5504, time: 0.001, data: 0.001) , D_A: 0.334, G_A: 1.114, cycle_A: 0.390, D_B: 0.412, G_B: 1.128, cycle_B: 0.259, gp: 0.374

[Rank 0] (epoch: 3, iters: 7104, time: 0.001, data: 0.001) , D_A: 0.335, G_A: 1.313, cycle_A: 0.335, D_B: 0.406, G_B: 0.945, cycle_B: 0.340, gp: 0.387

[Rank 0] (epoch: 3, iters: 8704, time: 0.001, data: 0.001) , D_A: 0.357, G_A: 1.291, cycle_A: 0.319, D_B: 0.280, G_B: 1.101, cycle_B: 0.273, gp: 0.256

[Rank 0] (epoch: 3, iters: 10304, time: 0.001, data: 0.001) , D_A: 0.399, G_A: 0.595, cycle_A: 0.339, D_B: 0.213, G_B: 0.990, cycle_B: 0.257, gp: 0.198

[Rank 0] (epoch: 3, iters: 11904, time: 0.001, data: 0.001) , D_A: 0.373, G_A: 1.082, cycle_A: 0.327, D_B: 0.285, G_B: 0.902, cycle_B: 0.258, gp: 0.269

[Rank 0] (epoch: 3, iters: 13504, time: 0.001, data: 0.001) , D_A: 0.435, G_A: 1.126, cycle_A: 0.370, D_B: 0.227, G_B: 1.030, cycle_B: 0.233, gp: 0.209

[Rank 0] (epoch: 3, iters: 15104, time: 0.001, data: 0.001) , D_A: 0.394, G_A: 1.010, cycle_A: 0.346, D_B: 0.326, G_B: 0.886, cycle_B: 0.300, gp: 0.304

[Rank 0] (epoch: 3, iters: 16704, time: 0.001, data: 0.001) , D_A: 0.420, G_A: 1.151, cycle_A: 0.618, D_B: 0.321, G_B: 1.468, cycle_B: 2.027, gp: 0.246

[Rank 0] (epoch: 3, iters: 18304, time: 0.001, data: 0.001) , D_A: 0.277, G_A: 0.730, cycle_A: 0.288, D_B: 0.370, G_B: 0.963, cycle_B: 0.266, gp: 0.348

[Rank 0] (epoch: 3, iters: 19904, time: 0.001, data: 0.001) , D_A: 0.324, G_A: 0.991, cycle_A: 0.272, D_B: 0.210, G_B: 1.050, cycle_B: 0.240, gp: 0.198

